user_id,movie_id,title,genre,director,language,age_rating,year,rating,age,gender,occupation,timestamp
U0007,M0019,The Twisted Moon,Documentary,Denis Villeneuve,French,R,2004,1.0,64.0,Other,Retired,2024-09-15
U0275,M0083,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,1999,2.5,38.0,M,Artist,2024-07-21
U0199,M0006,The Broken Path,Thriller,Sofia Coppola,Unknown,G,1998,1.5,34.0,M,Engineer,2024-02-16
U0033,M0062,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2000,3.5,49.0,Other,Other,2024-05-18
U0271,M0133,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,1997,2.0,22.0,F,Manager,2024-10-27
U0059,M0013,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,2003,3.0,49.0,F,Other,2024-01-03
U0222,M0136,The Midnight Forest,Thriller,Sofia Coppola,Italian,G,2005,2.5,55.0,Other,Manager,2024-11-21
U0035,M0148,The Hidden Kingdom,Animation,Ava DuVernay,Korean,PG-13,2023,2.5,25.0,M,Student,2024-08-11
U0229,M0080,The Bright Sun,Fantasy,Jordan Peele,Italian,NC-17,2021,1.5,53.0,F,Retired,2024-01-10
U0144,M0149,The Neon Legacy,Documentary,Denis Villeneuve,Japanese,R,2017,2.0,32.0,Other,Manager,2024-10-28
U0276,M0042,The Lost Heart,Comedy,Greta Gerwig,Spanish,PG,2008,2.5,28.0,M,Manager,2024-07-15
U0020,M0063,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,2005,5.0,41.0,Other,Engineer,2024-08-17
U0235,M0099,The Twisted Moon,Documentary,Unknown,French,R,2000,4.0,42.0,Other,Student,2024-06-23
U0200,M0022,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,1990,1.5,24.0,Other,Retired,2024-07-07
U0269,M0086,The Broken Path,Thriller,Sofia Coppola,Hindi,G,2005,1.0,32.0,M,Unknown,2024-01-19
U0025,M0130,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,2010,3.5,42.0,F,Manager,2024-11-20
U0048,M0131,The Burning Echo,Action,Christopher Nolan,French,G,2021,3.0,53.0,M,Manager,2024-09-14
U0096,M0028,The Hidden Kingdom,Unknown,Ava DuVernay,Unknown,PG-13,2003,1.0,53.0,Other,Teacher,2024-06-15
U0193,M0020,The Bright Sun,Fantasy,Jordan Peele,Korean,NC-17,2018,1.0,34.0,F,Artist,2024-02-19
U0015,M0119,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,2001,1.0,52.0,F,Manager,2024-06-18
