user_id,movie_id,title,genre,director,language,age_rating,year,rating,age,gender,occupation,timestamp,age_group,movie_age,rating_month,user_avg_rating,movie_avg_rating,user_rating_count,genre_encoded,language_encoded,age_rating_encoded,director_encoded,gender_encoded,age_group_encoded,occupation_encoded
U0007,M0019,The Twisted Moon,Documentary,Denis Villeneuve,French,R,2004,1.0,64.0,Other,Retired,2024-09-15,Senior,20,9,2.8,2.8529411764705883,10,3,1,4,3,2,1,5
U0275,M0083,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,1999,2.5,38.0,M,Artist,2024-07-21,Adult,25,7,2.5,2.896551724137931,8,4,1,3,9,1,0,0
U0199,M0006,The Broken Path,Thriller,Sofia Coppola,Unknown,G,1998,1.5,34.0,M,Engineer,2024-02-16,Young Adult,26,2,2.7777777777777777,2.8333333333333335,9,9,8,0,8,1,2,2
U0033,M0062,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2000,3.5,49.0,Other,Other,2024-05-18,Adult,24,5,2.8333333333333335,3.261904761904762,9,2,2,2,4,2,0,4
U0271,M0133,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,1997,2.0,22.0,F,Manager,2024-10-27,Youth,27,10,2.909090909090909,2.8157894736842106,11,4,4,3,9,0,3,3
U0059,M0013,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,2003,3.0,49.0,F,Other,2024-01-03,Adult,21,1,2.5,3.4545454545454546,10,4,4,3,9,0,0,4
U0222,M0136,The Midnight Forest,Thriller,Sofia Coppola,Italian,G,2005,2.5,55.0,Other,Manager,2024-11-21,Senior,19,11,3.1666666666666665,3.40625,9,9,3,0,8,2,1,3
U0035,M0148,The Hidden Kingdom,Animation,Ava DuVernay,Korean,PG-13,2023,2.5,25.0,M,Student,2024-08-11,Young Adult,1,8,3.0,2.8653846153846154,9,1,5,3,0,1,2,6
U0229,M0080,The Bright Sun,Fantasy,Jordan Peele,Italian,NC-17,2021,1.5,53.0,F,Retired,2024-01-10,Senior,3,1,2.7,2.857142857142857,10,5,3,1,5,0,1,5
U0144,M0149,The Neon Legacy,Documentary,Denis Villeneuve,Japanese,R,2017,2.0,32.0,Other,Manager,2024-10-28,Young Adult,7,10,2.3333333333333335,3.176470588235294,12,3,4,4,3,2,2,3
U0276,M0042,The Lost Heart,Comedy,Greta Gerwig,Spanish,PG,2008,2.5,28.0,M,Manager,2024-07-15,Young Adult,16,7,3.05,3.4,10,2,7,2,4,1,2,3
U0020,M0063,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,2005,5.0,41.0,Other,Engineer,2024-08-17,Adult,19,8,3.55,3.1363636363636362,10,4,6,3,9,2,0,2
U0235,M0099,The Twisted Moon,Documentary,Unknown,French,R,2000,4.0,42.0,Other,Student,2024-06-23,Adult,24,6,2.75,3.475,12,3,1,4,10,2,0,6
U0200,M0022,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,1990,1.5,24.0,Other,Retired,2024-07-07,Youth,34,7,2.8333333333333335,3.4210526315789473,9,2,2,2,4,2,3,5
U0269,M0086,The Broken Path,Thriller,Sofia Coppola,Hindi,G,2005,1.0,32.0,M,Unknown,2024-01-19,Young Adult,19,1,2.3,2.5,10,9,2,0,8,1,2,8
U0025,M0130,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,2010,3.5,42.0,F,Manager,2024-11-20,Adult,14,11,3.227272727272727,2.840909090909091,11,5,7,1,5,0,0,3
U0048,M0131,The Burning Echo,Action,Christopher Nolan,French,G,2021,3.0,53.0,M,Manager,2024-09-14,Senior,3,9,2.6538461538461537,2.875,13,0,1,0,2,1,1,3
U0096,M0028,The Hidden Kingdom,Unknown,Ava DuVernay,Unknown,PG-13,2003,1.0,53.0,Other,Teacher,2024-06-15,Senior,21,6,2.9583333333333335,2.9411764705882355,12,10,8,3,0,2,1,7
U0193,M0020,The Bright Sun,Fantasy,Jordan Peele,Korean,NC-17,2018,1.0,34.0,F,Artist,2024-02-19,Young Adult,6,2,2.409090909090909,2.823529411764706,11,5,5,1,5,0,2,0
U0015,M0119,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,2001,1.0,52.0,F,Manager,2024-06-18,Senior,23,6,2.5,3.2708333333333335,10,3,6,4,3,0,1,3
U0079,M0102,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2014,3.0,64.0,F,Doctor,2024-07-21,Senior,10,7,2.125,3.1666666666666665,8,2,2,2,4,0,1,1
U0074,M0122,The Lost Heart,Comedy,Greta Gerwig,Spanish,PG,2009,3.5,57.0,Unknown,Unknown,2024-02-28,Senior,15,2,3.5,3.3043478260869565,7,2,7,2,4,3,1,8
U0046,M0023,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,2000,2.0,53.0,M,Artist,2024-11-13,Senior,24,11,2.5,2.9791666666666665,9,4,6,3,9,1,1,0
U0042,M0019,The Twisted Moon,Documentary,Denis Villeneuve,French,R,2004,3.5,48.0,M,Unknown,2024-07-08,Adult,20,7,2.9,2.8529411764705883,10,3,1,4,3,1,0,8
U0220,M0110,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,2011,3.5,55.0,M,Artist,2024-07-25,Senior,13,7,3.1,3.0,10,5,2,1,5,1,1,0
U0219,M0113,The Rising Ocean,Drama,Steven Spielberg,English,PG-13,2017,1.0,29.0,Other,Other,2024-10-11,Young Adult,7,10,2.8333333333333335,2.96,12,4,0,3,9,2,2,4
U0252,M0083,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,1999,2.5,26.0,F,Engineer,2024-07-01,Young Adult,25,7,3.272727272727273,2.896551724137931,11,4,1,3,9,0,2,2
U0020,M0013,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,2003,4.0,34.0,M,Artist,2024-12-14,Young Adult,21,12,3.55,3.4545454545454546,10,4,4,3,9,1,2,0
U0234,M0088,The Hidden Kingdom,Unknown,Ava DuVernay,Italian,PG-13,2017,2.0,58.0,M,Artist,2024-01-07,Senior,7,1,2.85,2.9047619047619047,10,10,3,3,0,1,1,0
U0029,M0095,The Golden River,Romance,Quentin Tarantino,Portuguese,NC-17,1995,3.0,45.0,Unknown,Other,2024-06-15,Adult,29,6,2.8333333333333335,3.0833333333333335,9,7,6,1,7,3,0,4
U0016,M0099,The Twisted Moon,Documentary,Denis Villeneuve,French,R,2000,2.5,59.0,M,Engineer,2024-08-26,Senior,24,8,3.227272727272727,3.475,11,3,1,4,3,1,1,2
U0231,M0044,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2002,2.0,31.0,M,Teacher,2024-12-05,Young Adult,22,12,2.875,3.1458333333333335,12,8,5,4,1,1,2,7
U0188,M0107,The Last Journey,Horror,Martin Scorsese,French,PG,1990,3.0,56.0,M,Artist,2024-07-17,Senior,34,7,3.3125,3.022727272727273,8,6,1,2,6,1,1,0
U0185,M0137,The Sacred Sky,Horror,Martin Scorsese,English,PG,1993,1.5,32.0,F,Teacher,2024-09-04,Young Adult,31,9,2.875,2.5,12,6,0,2,6,0,2,7
U0148,M0147,The Last Journey,Horror,Martin Scorsese,French,PG,2006,4.0,41.0,F,Engineer,2024-03-23,Adult,18,3,3.388888888888889,3.0434782608695654,9,6,1,2,6,0,0,2
U0173,M0067,The Last Journey,Horror,Unknown,French,PG,2007,4.5,41.0,Unknown,Artist,2024-09-22,Adult,17,9,3.25,3.0833333333333335,12,6,1,2,10,3,0,0
U0244,M0102,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2014,3.5,26.0,M,Teacher,2024-01-08,Young Adult,10,1,3.227272727272727,3.1666666666666665,11,2,2,2,4,1,2,7
U0258,M0039,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,1997,3.5,28.0,Other,Unknown,2024-05-08,Young Adult,27,5,3.0,3.2777777777777777,10,3,6,4,3,2,2,8
U0142,M0110,The Silver Horizon,Fantasy,Unknown,Hindi,NC-17,2011,4.5,45.0,F,Student,2024-09-03,Adult,13,9,2.1363636363636362,3.0,11,5,2,1,10,0,0,6
U0027,M0065,The Silent Shadow,Romance,Quentin Tarantino,English,NC-17,2019,3.5,23.0,F,Unknown,2024-01-11,Youth,5,1,4.2272727272727275,2.9482758620689653,11,7,0,1,7,0,3,8
U0271,M0111,The Burning Echo,Unknown,Christopher Nolan,Portuguese,G,1997,2.5,46.0,F,Manager,2024-12-06,Adult,27,12,2.909090909090909,2.78,11,10,6,0,2,0,0,3
U0106,M0085,The Silent Shadow,Romance,Quentin Tarantino,Japanese,NC-17,1998,4.5,24.0,Other,Artist,2024-04-24,Youth,26,4,4.136363636363637,3.347826086956522,11,7,4,1,7,2,3,0
U0252,M0006,The Broken Path,Thriller,Sofia Coppola,Hindi,G,1998,5.0,27.0,F,Doctor,2024-10-22,Young Adult,26,10,3.272727272727273,2.8333333333333335,11,9,2,0,8,0,2,1
U0101,M0028,The Hidden Kingdom,Animation,Unknown,Korean,PG-13,2003,3.5,60.0,M,Doctor,2024-02-06,Senior,21,2,3.611111111111111,2.9411764705882355,9,1,5,3,10,1,1,1
U0105,M0034,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Spanish,R,2012,4.0,61.0,F,Manager,2024-07-24,Senior,12,7,2.875,3.03125,12,8,7,4,1,0,1,3
U0011,M0133,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,1997,2.5,47.0,F,Teacher,2024-05-08,Adult,27,5,2.65,2.8157894736842106,10,4,4,3,9,0,0,7
U0070,M0087,The Last Journey,Horror,Martin Scorsese,Portuguese,PG,2006,1.5,21.0,Other,Student,2024-11-04,Youth,18,11,1.9375,2.8823529411764706,8,6,6,2,6,2,3,6
U0058,M0081,The Dark Storm,Action,Christopher Nolan,English,G,2015,2.5,63.0,Other,Student,2024-04-27,Senior,9,4,3.5454545454545454,2.933333333333333,11,0,0,0,2,2,1,6
U0283,M0119,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,2001,3.5,42.0,Other,Manager,2024-08-13,Adult,23,8,2.9444444444444446,3.2708333333333335,9,3,6,4,3,2,0,3
U0294,M0150,The Silver Horizon,Fantasy,Unknown,Hindi,NC-17,2003,1.0,46.0,Unknown,Artist,2024-12-13,Adult,21,12,2.9444444444444446,3.2142857142857144,9,5,2,1,10,3,0,0
U0281,M0030,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,1996,3.5,38.0,F,Retired,2024-11-22,Adult,28,11,3.5,3.15,8,5,2,1,5,0,0,5
U0110,M0039,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,1997,3.0,40.0,M,Teacher,2024-01-08,Adult,27,1,2.75,3.2777777777777777,8,3,6,4,3,1,0,7
U0027,M0142,The Lost Heart,Comedy,Unknown,Hindi,PG,1994,5.0,18.0,M,Student,2024-05-07,Youth,30,5,4.2272727272727275,3.3333333333333335,11,2,2,2,10,1,3,6
U0137,M0021,The Dark Storm,Action,Christopher Nolan,Japanese,G,2007,4.5,59.0,M,Student,2024-07-07,Senior,17,7,2.45,3.210526315789474,10,0,4,0,2,1,1,6
U0006,M0130,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,2010,2.5,61.0,Other,Artist,2024-10-19,Senior,14,10,3.25,2.840909090909091,8,5,7,1,5,2,1,0
U0075,M0046,The Broken Path,Thriller,Sofia Coppola,Hindi,G,1992,2.5,60.0,Other,Retired,2024-11-24,Senior,32,11,3.125,2.9705882352941178,12,9,2,0,8,2,1,5
U0014,M0006,The Broken Path,Thriller,Sofia Coppola,Hindi,G,1998,2.0,51.0,F,Other,2024-11-15,Senior,26,11,3.15,2.8333333333333335,10,9,2,0,8,0,1,4
U0087,M0053,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,2007,2.0,45.0,F,Student,2024-09-12,Adult,17,9,3.0,2.4761904761904763,9,4,4,3,9,0,0,6
U0292,M0017,The Sacred Sky,Horror,Martin Scorsese,English,PG,2002,4.0,40.0,F,Doctor,2024-06-17,Adult,22,6,2.7916666666666665,2.6666666666666665,12,6,0,2,6,0,0,1
